ЭКСПОРТ ДАННЫХ ГОЛОСОВАНИЯ
Дата экспорта: 07.10.2025 23:08:12

ПОЛЬЗОВАТЕЛИ
ID,ФИО,Курс,Проголосовал,Время голоса,Дата регистрации
665509323,Родионов Артём Александрович,1,1,2025-10-07 19:50:23,2025-10-07 19:50:07
1000000,Тестовый Пользователь 0,3,1,2025-10-07 20:08:08,2025-10-07 20:08:04
1000001,Тестовый Пользователь 1,5,1,2025-10-07 20:08:08,2025-10-07 20:08:04
1000002,Тестовый Пользователь 2,3,1,2025-10-07 20:08:08,2025-10-07 20:08:04
1000003,Тестовый Пользователь 3,2,1,2025-10-07 20:08:08,2025-10-07 20:08:04
1000004,Тестовый Пользователь 4,5,1,2025-10-07 20:08:08,2025-10-07 20:08:04
1000005,Тестовый Пользователь 5,4,1,2025-10-07 20:08:08,2025-10-07 20:08:04
1000006,Тестовый Пользователь 6,2,1,2025-10-07 20:08:08,2025-10-07 20:08:04
1000007,Тестовый Пользователь 7,1,1,2025-10-07 20:08:08,2025-10-07 20:08:04
1000008,Тестовый Пользователь 8,5,1,2025-10-07 20:08:08,2025-10-07 20:08:04
1000009,Тестовый Пользователь 9,5,1,2025-10-07 20:08:08,2025-10-07 20:08:04
1000010,Тестовый Пользователь 10,2,1,2025-10-07 20:08:08,2025-10-07 20:08:04
1000011,Тестовый Пользователь 11,4,1,2025-10-07 20:08:08,2025-10-07 20:08:04
1000012,Тестовый Пользователь 12,2,1,2025-10-07 20:08:08,2025-10-07 20:08:04
1000013,Тестовый Пользователь 13,1,1,2025-10-07 20:08:08,2025-10-07 20:08:04
1000014,Тестовый Пользователь 14,1,1,2025-10-07 20:08:08,2025-10-07 20:08:04
1000015,Тестовый Пользователь 15,2,1,2025-10-07 20:08:08,2025-10-07 20:08:04
1000016,Тестовый Пользователь 16,5,1,2025-10-07 20:08:08,2025-10-07 20:08:04
1000017,Тестовый Пользователь 17,3,1,2025-10-07 20:08:08,2025-10-07 20:08:04
1000018,Тестовый Пользователь 18,2,1,2025-10-07 20:08:08,2025-10-07 20:08:04
1000019,Тестовый Пользователь 19,3,1,2025-10-07 20:08:08,2025-10-07 20:08:04
1000020,Тестовый Пользователь 20,2,1,2025-10-07 20:08:08,2025-10-07 20:08:04
1000021,Тестовый Пользователь 21,3,1,2025-10-07 20:08:08,2025-10-07 20:08:04
1000022,Тестовый Пользователь 22,1,1,2025-10-07 20:08:08,2025-10-07 20:08:04
1000023,Тестовый Пользователь 23,4,1,2025-10-07 20:08:08,2025-10-07 20:08:04
1000024,Тестовый Пользователь 24,5,1,2025-10-07 20:08:08,2025-10-07 20:08:04
1000025,Тестовый Пользователь 25,4,1,2025-10-07 20:08:08,2025-10-07 20:08:04
1000026,Тестовый Пользователь 26,4,1,2025-10-07 20:08:08,2025-10-07 20:08:04
1000027,Тестовый Пользователь 27,1,1,2025-10-07 20:08:08,2025-10-07 20:08:04
1000028,Тестовый Пользователь 28,3,1,2025-10-07 20:08:08,2025-10-07 20:08:04
1000029,Тестовый Пользователь 29,1,1,2025-10-07 20:08:08,2025-10-07 20:08:04
1000030,Тестовый Пользователь 30,3,1,2025-10-07 20:08:08,2025-10-07 20:08:04
1000031,Тестовый Пользователь 31,1,1,2025-10-07 20:08:08,2025-10-07 20:08:04
1000032,Тестовый Пользователь 32,3,1,2025-10-07 20:08:08,2025-10-07 20:08:04
1000033,Тестовый Пользователь 33,2,1,2025-10-07 20:08:08,2025-10-07 20:08:04
1000034,Тестовый Пользователь 34,3,1,2025-10-07 20:08:08,2025-10-07 20:08:04
1000035,Тестовый Пользователь 35,5,1,2025-10-07 20:08:08,2025-10-07 20:08:04
1000036,Тестовый Пользователь 36,1,1,2025-10-07 20:08:08,2025-10-07 20:08:04
1000037,Тестовый Пользователь 37,5,1,2025-10-07 20:08:08,2025-10-07 20:08:04
1000038,Тестовый Пользователь 38,1,1,2025-10-07 20:08:08,2025-10-07 20:08:04
1000039,Тестовый Пользователь 39,4,1,2025-10-07 20:08:08,2025-10-07 20:08:04
1000040,Тестовый Пользователь 40,1,1,2025-10-07 20:08:08,2025-10-07 20:08:04
1000041,Тестовый Пользователь 41,5,1,2025-10-07 20:08:08,2025-10-07 20:08:04
1000042,Тестовый Пользователь 42,3,1,2025-10-07 20:08:08,2025-10-07 20:08:04
1000043,Тестовый Пользователь 43,5,1,2025-10-07 20:08:08,2025-10-07 20:08:04
1000044,Тестовый Пользователь 44,2,1,2025-10-07 20:08:08,2025-10-07 20:08:04
1000045,Тестовый Пользователь 45,5,1,2025-10-07 20:08:08,2025-10-07 20:08:04
1000046,Тестовый Пользователь 46,5,1,2025-10-07 20:08:08,2025-10-07 20:08:04
1000047,Тестовый Пользователь 47,2,1,2025-10-07 20:08:08,2025-10-07 20:08:04
1000048,Тестовый Пользователь 48,4,1,2025-10-07 20:08:08,2025-10-07 20:08:04
1000049,Тестовый Пользователь 49,2,1,2025-10-07 20:08:08,2025-10-07 20:08:04
1000050,Тестовый Пользователь 50,1,1,2025-10-07 20:08:08,2025-10-07 20:08:04
1000051,Тестовый Пользователь 51,2,1,2025-10-07 20:08:08,2025-10-07 20:08:04
1000052,Тестовый Пользователь 52,1,1,2025-10-07 20:08:08,2025-10-07 20:08:04
1000053,Тестовый Пользователь 53,5,1,2025-10-07 20:08:08,2025-10-07 20:08:04
1000054,Тестовый Пользователь 54,1,1,2025-10-07 20:08:08,2025-10-07 20:08:04
1000055,Тестовый Пользователь 55,4,1,2025-10-07 20:08:08,2025-10-07 20:08:04
1000056,Тестовый Пользователь 56,5,1,2025-10-07 20:08:08,2025-10-07 20:08:04
1000057,Тестовый Пользователь 57,4,1,2025-10-07 20:08:08,2025-10-07 20:08:04
1000058,Тестовый Пользователь 58,3,1,2025-10-07 20:08:08,2025-10-07 20:08:04
1000059,Тестовый Пользователь 59,4,1,2025-10-07 20:08:08,2025-10-07 20:08:04
1000060,Тестовый Пользователь 60,3,1,2025-10-07 20:08:08,2025-10-07 20:08:04
1000061,Тестовый Пользователь 61,1,1,2025-10-07 20:08:08,2025-10-07 20:08:04
1000062,Тестовый Пользователь 62,3,1,2025-10-07 20:08:08,2025-10-07 20:08:04
1000063,Тестовый Пользователь 63,5,1,2025-10-07 20:08:08,2025-10-07 20:08:04
1000064,Тестовый Пользователь 64,3,1,2025-10-07 20:08:08,2025-10-07 20:08:04
1000065,Тестовый Пользователь 65,5,1,2025-10-07 20:08:08,2025-10-07 20:08:04
1000066,Тестовый Пользователь 66,4,1,2025-10-07 20:08:08,2025-10-07 20:08:04
1000067,Тестовый Пользователь 67,5,1,2025-10-07 20:08:08,2025-10-07 20:08:04
1000068,Тестовый Пользователь 68,1,1,2025-10-07 20:08:08,2025-10-07 20:08:04
1000069,Тестовый Пользователь 69,5,1,2025-10-07 20:08:08,2025-10-07 20:08:04
1000070,Тестовый Пользователь 70,3,1,2025-10-07 20:08:08,2025-10-07 20:08:04
1000071,Тестовый Пользователь 71,3,1,2025-10-07 20:08:08,2025-10-07 20:08:04
1000072,Тестовый Пользователь 72,2,1,2025-10-07 20:08:08,2025-10-07 20:08:04
1000073,Тестовый Пользователь 73,4,1,2025-10-07 20:08:08,2025-10-07 20:08:04
1000074,Тестовый Пользователь 74,2,1,2025-10-07 20:08:08,2025-10-07 20:08:04
1000075,Тестовый Пользователь 75,5,1,2025-10-07 20:08:08,2025-10-07 20:08:04
1000076,Тестовый Пользователь 76,5,1,2025-10-07 20:08:08,2025-10-07 20:08:04
1000077,Тестовый Пользователь 77,3,1,2025-10-07 20:08:08,2025-10-07 20:08:04
1000078,Тестовый Пользователь 78,4,1,2025-10-07 20:08:08,2025-10-07 20:08:04
1000079,Тестовый Пользователь 79,5,1,2025-10-07 20:08:08,2025-10-07 20:08:04
1000080,Тестовый Пользователь 80,2,1,2025-10-07 20:08:08,2025-10-07 20:08:04
1000081,Тестовый Пользователь 81,5,1,2025-10-07 20:08:08,2025-10-07 20:08:04
1000082,Тестовый Пользователь 82,4,1,2025-10-07 20:08:08,2025-10-07 20:08:04
1000083,Тестовый Пользователь 83,2,1,2025-10-07 20:08:08,2025-10-07 20:08:04
1000084,Тестовый Пользователь 84,5,1,2025-10-07 20:08:08,2025-10-07 20:08:04
1000085,Тестовый Пользователь 85,2,1,2025-10-07 20:08:08,2025-10-07 20:08:04
1000086,Тестовый Пользователь 86,5,1,2025-10-07 20:08:08,2025-10-07 20:08:04
1000087,Тестовый Пользователь 87,4,1,2025-10-07 20:08:08,2025-10-07 20:08:04
1000088,Тестовый Пользователь 88,5,1,2025-10-07 20:08:08,2025-10-07 20:08:04
1000089,Тестовый Пользователь 89,3,1,2025-10-07 20:08:08,2025-10-07 20:08:04
1000090,Тестовый Пользователь 90,5,1,2025-10-07 20:08:08,2025-10-07 20:08:04
1000091,Тестовый Пользователь 91,4,1,2025-10-07 20:08:08,2025-10-07 20:08:04
1000092,Тестовый Пользователь 92,2,1,2025-10-07 20:08:08,2025-10-07 20:08:04
1000093,Тестовый Пользователь 93,3,1,2025-10-07 20:08:08,2025-10-07 20:08:04
1000094,Тестовый Пользователь 94,5,1,2025-10-07 20:08:08,2025-10-07 20:08:04
1000095,Тестовый Пользователь 95,2,1,2025-10-07 20:08:08,2025-10-07 20:08:04
1000096,Тестовый Пользователь 96,1,1,2025-10-07 20:08:08,2025-10-07 20:08:04
1000097,Тестовый Пользователь 97,5,1,2025-10-07 20:08:08,2025-10-07 20:08:04
1000098,Тестовый Пользователь 98,5,1,2025-10-07 20:08:08,2025-10-07 20:08:04
1000099,Тестовый Пользователь 99,1,1,2025-10-07 20:08:08,2025-10-07 20:08:04
1000100,Тестовый Пользователь 100,2,1,2025-10-07 20:08:08,2025-10-07 20:08:04
1000101,Тестовый Пользователь 101,3,1,2025-10-07 20:08:08,2025-10-07 20:08:04
1000102,Тестовый Пользователь 102,2,1,2025-10-07 20:08:08,2025-10-07 20:08:04
1000103,Тестовый Пользователь 103,5,1,2025-10-07 20:08:08,2025-10-07 20:08:04
1000104,Тестовый Пользователь 104,1,1,2025-10-07 20:08:08,2025-10-07 20:08:04
